"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"AKT3|ENST00000673466.1|38",168.558907106701,-1.2303269983254,0.198140317859988,-6.20937228532555,5.31966625226007e-10,1.26970192712871e-09
"AKT3|ENST00000673466.1|38|mutated",368.661347761555,-1.11143327909887,0.158764463197203,-7.00051671965375,2.55020196123325e-12,6.95282697238576e-12
"AKT3|ENST00000673466.1|40",5434.4632665258,1.12804152577435,0.158139427950689,7.13320858936008,9.80557835832856e-13,2.73246654252446e-12
"ALDH1A2|ENST00000249750.9|2",44549.2740169608,4.04638141681834,0.229347548489349,17.6430114185688,1.15157108639098e-69,2.49409889723414e-68
"ALDH1A2|ENST00000249750.9|3",3044.41363214011,1.39913288180453,0.138743304583613,10.0843272113455,6.48076193625434e-24,2.95358012597102e-23
"ALDH1A2|ENST00000249750.9|12",515.684691523574,-1.98124834478017,0.191703580428097,-10.3349574397923,4.89629398858528e-25,2.33172616704914e-24
"ALDH1A2|ENST00000249750.9|13",872.224213418219,-2.0591444612376,0.128044524588817,-16.0814721898497,3.44103482104574e-58,5.1516592564581e-57
"ALX4|ENST00000652299.1|1",6882.46899330645,1.75171244513581,0.297903814566413,5.88012760993126,4.09950308235776e-09,9.26760068278574e-09
"ALX4|ENST00000652299.1|2",25690.5193700673,1.3508587414345,0.360167974664005,3.75063536033346,0.000176387053150369,0.000282092099824004
"ALX4|ENST00000652299.1|3",16967.3993546366,1.7302076580805,0.299091228487073,5.78488264879116,7.25629680372709e-09,1.61780839199999e-08
"ALX4|ENST00000652299.1|4",8568.18539901418,1.68416511904178,0.355932291127835,4.7317008347436,2.22646384541185e-06,4.16857237400308e-06
"ALX4|ENST00000652299.1|5",10616.8772620249,1.35365342701119,0.371234270899896,3.64635900594479,0.000265982310304809,0.000419277458610252
"ALX4|ENST00000652299.1|6",6080.92479276988,1.24030512721669,0.293055749204866,4.23231801656152,2.31295046555362e-05,3.97734497141934e-05
"ALX4|ENST00000652299.1|7",7161.54289801968,2.4591512810259,0.191128789319293,12.8664618751795,6.95141690449501e-38,5.30976532303168e-37
